FID,geom,nid,kind,street,plz,city,description,created_at,url
MRN_mundraub_4326_Point.1,POINT (8.263338804245 48.993153441091),28571,Holunder,L 556,76776,Neuburg am Rhein,Unbekannt,2017-02-20 13:15:00,https://mundraub.org/node/28571
MRN_mundraub_4326_Point.2,POINT (8.248516917229 49.024991206786),79252,Hagebutte,Fleckensteinweg,76767,Hagenbach,Von der Ampel kommend auf der rechten Seite mehrere Sträucher ab der ersten Spielanlage,2018-09-18 14:23:00,https://mundraub.org/node/79252
MRN_mundraub_4326_Point.3,POINT (8.289130926132 49.027318607402),82859,Apfel,Am Turnerplatz,76744,Wörth am Rhein,viele kleine Apfelbäume verschiedener Sorten (ab August),2019-07-28 12:30:00,https://mundraub.org/node/82859
MRN_mundraub_4326_Point.4,POINT (8.258906664941 49.0350144276),5787,Bärlauch,L 540,76744,Wörth am Rhein,Hier ist im Frühjahr (Ende Februar bis Ende März) sehr viel Bärlauch im Wald. Ab April fängt dort aber auch das Maiglöckchen an zu wachsen deshalb ab da bitte drauf achten (in diesem Falle bitte nur erfahrene Sammler).,2012-07-24 01:15:00,https://mundraub.org/node/5787
MRN_mundraub_4326_Point.5,POINT (8.283696770668 49.03583525216),83205,Haselnuss,Schlesierstraße,76744,Wörth am Rhein,die Haselnüsse können ohne ein Grundstück zu betreten vom Weg aufgesammelt werden (August/September),2019-08-07 11:05:00,https://mundraub.org/node/83205
MRN_mundraub_4326_Point.6,POINT (8.300416655839 49.036607192998),103185,Kirsche,Im Holzhof,76744,Wörth am Rhein,Sauerkirschen und bereits größtenteils reif,2022-06-07 18:25:00,https://mundraub.org/node/103185
MRN_mundraub_4326_Point.7,POINT (8.3048082 49.04792),103286,Haselnuss,Hafenstraße,76744,Wörth am Rhein,HaselnussStrauch,2022-06-12 17:40:00,https://mundraub.org/node/103286
MRN_mundraub_4326_Point.8,POINT (8.3050039 49.0481299),103287,Walnuss,Hafenstraße,76744,Wörth am Rhein,direkt in der Kurve rechts,2022-06-12 17:43:00,https://mundraub.org/node/103287
MRN_mundraub_4326_Point.9,POINT (8.304366543889 49.052558101479),103327,Walnuss,Hafenstraße,76744,Wörth am Rhein,Links und rechts um die Kurve stehen mehrere Walnuss Bäume (Juni nicht reif),2022-06-15 16:32:00,https://mundraub.org/node/103327
MRN_mundraub_4326_Point.10,POINT (8.282890607079 49.069180331813),82319,Kirsche,B 9,76744,Wörth am Rhein,Zwei Kirschbäume auf verwildertem Grundstück. Darf man sie nun pflücken oder nicht?,2019-06-15 21:24:00,https://mundraub.org/node/82319
MRN_mundraub_4326_Point.11,POINT (8.2677711 49.0810224),117986,Quitte,K 10,76751,Jockgrim,1x,2023-09-02 20:08:00,https://mundraub.org/node/117986
MRN_mundraub_4326_Point.12,POINT (8.2681446 49.0810869),117985,Aprikose,K 10,76751,Jockgrim,Unterschiedliche Pfirsich 6x,2023-09-02 20:03:00,https://mundraub.org/node/117985
MRN_mundraub_4326_Point.13,POINT (8.171411454678 49.084228495316),11099,Pflaume,Höhenweg,67435,Gimmeldingen,Wilde Pflaumen oder Kirschpflaumen viele Bäume mit angehemer Pflückhhe zwischen Weingärten. Jetzt gerade am reif werden. Es freuen sich viele wenn die Bäume abgeerntet werden.,2014-06-22 19:23:00,https://mundraub.org/node/11099
MRN_mundraub_4326_Point.14,POINT (8.262689709663 49.093846866836),106186,Brombeere,K 10,76751,Jockgrim,Einige Brombeeren direkt neben einem inoffizeillen Parkplatz,2022-08-24 16:18:00,https://mundraub.org/node/106186
MRN_mundraub_4326_Point.15,POINT (8.265527486801 49.094257196947),106185,Bärlauch,Hatzenbühler Straße,76751,Jockgrim,In dem Bereich des Waldes wächst auf einer großen Fläche jede Menge Bärlauch,2022-08-24 16:17:00,https://mundraub.org/node/106185
MRN_mundraub_4326_Point.16,POINT (8.3273731 49.1022709),123037,Holunder,Unbekannt,76777,Jockgrim,viele Bäume,2024-05-25 22:53:00,https://mundraub.org/node/123037
MRN_mundraub_4326_Point.17,POINT (8.35004825145 49.110196631585),115336,Mirabelle,Mittlere Kreuzlinie,76774,Rülzheim,Mirabellen einige Bäume,2023-07-02 21:52:00,https://mundraub.org/node/115336
MRN_mundraub_4326_Point.18,POINT (8.3100505 49.111375),115716,Schlehe,In den Krautstücken,76777,Jockgrim,Bild vom 12. Juli,2023-07-12 13:23:00,https://mundraub.org/node/115716
MRN_mundraub_4326_Point.19,POINT (8.342743255198 49.114141297932),115644,Kirsche,L 549,76774,Rülzheim,2 bäume ca. 15.6 bis 1.7 reif,2023-07-10 13:51:00,https://mundraub.org/node/115644
MRN_mundraub_4326_Point.20,POINT (8.333712 49.114237),115634,Apfel,L 549,76774,Rülzheim,Diverse Obstbäumen,2023-07-09 22:36:00,https://mundraub.org/node/115634
MRN_mundraub_4326_Point.21,POINT (8.344914168119 49.114705736608),115337,Walnuss,L 549,76774,Rülzheim,Walnus 2  große alte Bäume,2023-07-02 21:56:00,https://mundraub.org/node/115337
MRN_mundraub_4326_Point.22,POINT (8.3376182 49.1153371),115628,Mirabelle,L 549,76774,Rülzheim,9. Juli reif rote Frucht 1 baum,2023-07-09 21:13:00,https://mundraub.org/node/115628
MRN_mundraub_4326_Point.23,POINT (8.3375831 49.1155634),115626,Mirabelle,L 549,76774,Rülzheim,Mehrere Bäume gelbe Früchte,2023-07-09 21:06:00,https://mundraub.org/node/115626
MRN_mundraub_4326_Point.24,POINT (8.329932 49.1159355),115633,Johannisbeere,L 549,76774,Rülzheim,9. Juli schon zu reif - fast keine mehr da rote Johannisbeeren 2x,2023-07-09 21:32:00,https://mundraub.org/node/115633
MRN_mundraub_4326_Point.25,POINT (8.3370975 49.1160322),115629,Hagebutte,L 549,76774,Rülzheim,9. Juli noch grün 1 strauch,2023-07-09 21:17:00,https://mundraub.org/node/115629
MRN_mundraub_4326_Point.26,POINT (8.3368766 49.1160838),115630,Mirabelle,L 549,76774,Rülzheim,9. Juli rote Frucht bereits gut reif,2023-07-09 21:20:00,https://mundraub.org/node/115630
MRN_mundraub_4326_Point.27,POINT (8.3363714 49.1165652),115632,Walnuss,L 549,76774,Rülzheim,Mehrere Bäume,2023-07-09 21:22:00,https://mundraub.org/node/115632
MRN_mundraub_4326_Point.28,POINT (8.344475 49.1168234),115624,Pflaume,L 549,76774,Rülzheim,9. Juli leider noch grün,2023-07-09 20:25:00,https://mundraub.org/node/115624
MRN_mundraub_4326_Point.29,POINT (8.3445465 49.1172106),115623,Brombeere,L 549,76774,Rülzheim,9. Juli die ersten sind bereits reif,2023-07-09 20:22:00,https://mundraub.org/node/115623
