FID,geom,id,title,description,addresslocality,streetaddress,postalcode,email,openinghours,license,telephone
MRN_Refill_4326_Point.1,POINT (8.465881798633319 49.48506140126151),f6b479c4210c45c1b0282138ebde8f2f,Umgekrempelt,Faire Kleidung die nicht nur auf Labels sondern auch auf Transparenz und echte Transformation setzt. Wirtschaftet seit November 2023 teilweise gemeinschaftsbasiert. Bist du schon ein Ultra? ,Mannheim,M2 15a,68161,info@umgekrempelt-mannheim.de,Di-Fr 11:00-14:00;15:00-19:00 Sa 12:00-18:00,CC0-1.0,0621 - 43674787
MRN_Refill_4326_Point.2,POINT (8.68860304760216 49.41426788895124),d24bcae66e96437fa8f998162196524e,Annas Unverpacktes,Unverpackte Biolebensmittel nachhaltiges und regionales Zubehör festes Schampoo Deocremes Trinkflaschen uvm. Öffnungszeiten: Di-Sa 10:00-18:30,Heidelberg,Ladenburger Straße 37,69120,annasunverpacktes@posteo.de,,CC0-1.0,06221 6724604
MRN_Refill_4326_Point.3,POINT (8.703600032582694 49.37469998345463),d131c294325d4599ad0a7009ab35e140,Refill-Station im Stadtteilverein Boxberg e.V.,Der Stadtteilverein Boxberg e.V. geht mit der Zeit und arbeitet an vielen aktuellen. Jetzt gibt es auch noch kostenlos Leitungswasser zum Trinken. Einfach reinkommen!,Heidelberg,Boxbergring 12,69126,info@stadtteilverein-boxberg.de,Mo 17:00-18:30,CC0-1.0,06221 385314
MRN_Refill_4326_Point.4,POINT (8.474144008231416 49.48366778413005),e913384994cf41758097f97743b11b44,Wasserturm Mannheim,Öffnungszeiten: immer geöffnet,Mannheim,Friedrichsplatz,68161,,,CC0-1.0,
MRN_Refill_4326_Point.5,POINT (8.376415375795409 49.38466715597765),2f7dfcf4261a4ae9a1e4c58d788dc7aa,Weltladen,Fairtrade Produkte,Schifferstadt,Lillengasse 8,67105,,,CC0-1.0,
MRN_Refill_4326_Point.6,POINT (8.470453791539397 49.49722060910297),29ccd691b3c941d6acbd12994221d8f8,Langer Vintage Concept Store,Streetstyle & Sportswear Vintage Shop - High Quality und Marken Second-Hand Damen und Herren Mode aus Mannheim - Fashion Blog Öffnungszeiten Mi 12:00-18:00 Do-Fr 12:00-19:00 Sa 11:00-18:00,Mannheim,Langstraße 20,68169,laden.langer@gmail.com,,CC0-1.0,
MRN_Refill_4326_Point.7,POINT (8.482450222821184 49.455925612457065),4e877235606b4335a14df71b4b282e44,Buchhandlung Karl Böttger e.k.,Das Sortiment ist liebevoll ausgesucht und bietet vor allem Lesestoff für Roman- und Krimi-Fans. Auch Freunde des historischen Romans und des Sachbuchs kommen nicht zu kurz. Kinder- und Jugendbücher bilden einen weiteren Schwerpunkt.,Mannheim,Sennteichplatz 2,68199,info@buch-boettger.de,,CC0-1.0,0621 856506
MRN_Refill_4326_Point.8,POINT (8.707314892070048 49.41167850951277),8ab4a39e7fe04714bed24756c6272a9e,Frischemacher FoodStore Heidelberg,Öffnungszeiten 7:00-20:00,Heidelberg,Hauptstraße 146,69117,foodstore_heidelberg@die-frischemacher.de,,CC0-1.0,06221-3522920
MRN_Refill_4326_Point.9,POINT (8.470456976662602 49.48732778406112),83974216bd31484ca8e5d442b0c88d07,Freudenhaus,Modegeschäft mit Fokus auf fair und biologisch hergestellter Kleidung.   Öffnungszeiten Mo-Sa 11:00-19:00,Mannheim,Q5 2,68161,,,CC0-1.0,0621 22538
MRN_Refill_4326_Point.10,POINT (8.481788723022579 49.47843219594957),72d208f5ac5d4df082c1ae1479799582,Raben-Drogerie,Das Fachgeschäft mit der sachkundigen und persönlichen Beratung  Öffnungszeiten Mo-Sa 9:00-12.30 Mo;Di 15:00-18.30 Do;Fr 15:00-18.30,Mannheim,Traitteurstraße 56,68165,raben-drogerie@arcor.de,,CC0-1.0,(0621) 401484-5
