Name,Datum,Spieldauer,Schwierigkeitsgrad,Typ,Altersempfehlung,Glücksfaktor,Rating
Klapperknochen-Kapitäne,2025-06-16,kurz,2,Kinder,6+,sehr hoch,1
Planet Würfelstein,2025-02-06,lang,4,Strategie,16+,kein Glück,4
Honigkrieg,2025-04-30,mittel,2,Familie,6+,gering,5
Meadow,2022-06-02,kurz,3,Familie,10+,sehr hoch,5
Sleeping Gods,2025-01-08,lang,5,Kooperativ,12+,mittel,3
Puerto Rico,2023-10-09,kurz,3,Strategie,12+,kein Glück,5
The Mind,2025-07-14,l,2,Party,16+,kein Glück,4
Splendor,2021-03-29,lang,2,Familie,10+,hoch,5
Catan,2025-06-13,mittel,3,Strategie,16+,sehr hoch,5
Geisterpost,2023-05-24,lang,1,Familie,10+,kein Glück,5
Calico,2024-07-18,kurz,1,Familie,6+,sehr hoch,2
Tiny Towns,2024-10-26,kurz,1,Familie,6+,hoch,5
Wurzelwerk,2025-03-17,mittel,3,Strategie,16+,gering,2
Catan,2024-09-14,lang,3,Strategie,12+,mittel,4
Heat: Pedal to the Metal,2024-10-20,mittel,1,Familie,6+,gering,5
Spirit Island,2024-08-04,mittel,2,Kooperativ,16+,mittel,4
Die Farben von Fjorin,2023-05-21,kurz,2,Strategie,12+,mittel,4
Flügelschlag,2023-11-18,mittel,2,Familie,6+,kein Glück,5
Ticket to Ride: Europe,2025-03-30,kurz,2,Familie,10+,gering,3
Die Crew,2024-03-16,lang,2,Kooperativ,16+,kein Glück,2
Obsession,2025-05-10,lang,5,Strategie,16+,hoch,2
Zauberkessel & Zimt,2024-08-12,mittel,2,Familie,6+,mittel,5
Planet Würfelstein,2025-05-28,kurz,5,Strategie,12+,sehr hoch,4
Nemesis: Lockdown,2023-11-19,kurz,4,Kooperativ,10+,mittel,2
Hadara,2024-11-30,mittel,5,Strategie,12+,gering,1
The Mind,2024-07-25,lang,3,Party,10+,kein Glück,4
Patchwork,2024-01-23,lang,2,Familie,10+,gering,2
Kaktuskarneval,2024-11-25,kurz,1,Party,6+,mittel,2
Wimmelwald,2024-05-11,lang,2,Familie,10+,gering,1
Agricola,2025-02-02,mittel,2,Strategie,12+,hoch,2
Pizzadiplomaten,2022-09-28,mittel,2,Party,10+,kein Glück,2
König Knatterbart,2024-11-08,lang,1,Kinder,6+,gering,3
Mysterium,2025-01-12,lang,4,Kooperativ,10+,mittel,4
Mindbug,2023-03-16,kurz,4,Strategie,12+,gering,2
Kaktuskarneval,2024-03-22,mittel,2,Party,12+,gering,4
Quacksalber von Quedlinburg,2024-12-12,kurz,2,Strategie,12+,mittel,3
Pixhagen: Das Spiel,2022-06-26,kurz,3,Strategie,16+,kein Glück,1
Hadara,2025-04-25,lang,3,Strategie,12+,sehr hoch,4
Wurzelwerk,2024-12-12,mittel,1,Strategie,16+,mittel,2
Wächter von Windhain,2022-08-19,mittel,2,Strategie,12+,sehr hoch,3
Patchwork,2024-09-05,mittel,2,Familie,10+,mittel,4
Tapestry,2020-10-26,kurz,1,Strategie,12+,gering,3
Obsthain,2024-07-07,lang,1,Kinder,6+,sehr hoch,3
Wimmelwald,2025-04-17,lang,3,Familie,10+,sehr hoch,4
Lachlabor,2024-05-30,m,1,Kinder,6+,gering,4
Tapestry,2023-08-12,mittel,3,Strategie,16+,kein Glück,4
Terraforming Mars,2023-02-19,mittel,1,Strategie,12+,mittel,5
Wurzelwerk,2025-07-08,mittel,1,Strategie,12+,kein Glück,3
Kaktuskarneval,2025-01-11,mittel,1,Party,10+,sehr hoch,3
Wimmelwald,2024-03-21,mittel,1,Familie,6+,mittel,4
Pixhagen: Das Spiel,2023-10-27,kurz,4,Strategie,16+,kein Glück,3
Pixhagen: Das Spiel,2023-03-25,mittel,3,Strategie,16+,kein Glück,2
Quacksalber von Quedlinburg,2023-09-04,lang,3,Strategie,16+,gering,4
Hadara,2024-04-12,kurz,2,Strategie,16+,hoch,5
Pixhagen: Das Spiel,2024-09-25,mittel,4,Strategie,12+,sehr hoch,3
Love Letter,2023-09-04,kurz,3,Party,12+,gering,2
Mindbug,2025-02-01,l,5,Strategie,12+,sehr hoch,4
Honigkrieg,2024-07-23,lang,2,Familie,10+,hoch,2
The Castles of Burgundy,2024-12-15,lang,3,Strategie,16+,kein Glück,4
Pixhagen: Das Spiel,2024-07-08,mittel,1,Strategie,16+,kein Glück,3
Unlock!,2022-07-08,lang,5,Kooperativ,6+,hoch,5
Mindbug,2023-03-13,mittel,4,Strategie,12+,hoch,3
Ticket to Ride: Europe,2023-06-21,l,2,Familie,10+,hoch,3
Pixhagen: Das Spiel,2025-07-29,lang,4,Strategie,12+,sehr hoch,3
Love Letter,2024-10-11,mittel,1,Party,12+,mittel,5
Die Drachen von Morag,2025-03-01,mittel,1,Kooperativ,12+,hoch,3
Nebelschach,2025-03-21,kurz,1,Strategie,12+,hoch,4
Wingspan Asia,2021-09-09,mittel,3,Familie,6+,gering,4
7 Wonders,2023-12-27,lang,4,Strategie,16+,kein Glück,3
Die Rückkehr der Kartoffelkönigin,2024-10-05,mittel,1,Familie,6+,kein Glück,4
Agricola,2025-01-30,mittel,4,Strategie,12+,mittel,3
Great Western Trail,2025-07-26,mittel,2,Strategie,16+,mittel,3
Planet Würfelstein,2023-11-07,kurz,3,Strategie,16+,hoch,3
Agricola,2025-07-13,lang,3,Strategie,16+,sehr hoch,5
Insel der Irrlichter,2025-05-01,lang,3,Kooperativ,12+,sehr hoch,4
Flügelschlag,2023-05-16,mittel,3,Familie,6+,mittel,3
Viticulture,2024-08-11,mittel,4,Strategie,12+,gering,2
Wolkenschieber,2023-06-09,kurz,2,Familie,6+,kein Glück,3
T.I.M.E Stories,2023-09-02,lang,4,Kooperativ,16+,mittel,5
Hinter dem Wasserfall,2024-08-09,mittel,3,Kooperativ,12+,mittel,4
Res Arcana,2024-04-02,kurz,4,Strategie,16+,gering,5
Wimmelwald,2025-06-08,kurz,1,Familie,10+,sehr hoch,4
Cartographers,2024-08-26,lang,4,Strategie,16+,mittel,2
Nebelschach,2025-06-26,mittel,2,Strategie,12+,gering,3
Arche Nova,2024-04-07,mittel,4,Strategie,16+,kein Glück,4
Tapestry,2025-04-18,lang,3,Strategie,16+,kein Glück,5
Wurzelwerk,2023-09-16,k,3,Strategie,12+,kein Glück,4
Quacksalber von Quedlinburg,2021-11-12,lang,3,Strategie,16+,sehr hoch,3
MicroMacro: Crime City,2022-04-04,mittel,3,Kooperativ,10+,kein Glück,5
Catan,2022-10-12,mittel,3,Strategie,16+,kein Glück,4
Lichtfänger,2025-01-16,lang,5,Kooperativ,10+,mittel,5
Pandemic,2024-02-09,lang,2,Kooperativ,12+,sehr hoch,5
Agricola,2022-08-23,kurz,2,Strategie,16+,kein Glück,4
Lost Ruins of Arnak,2024-10-13,mittel,1,Strategie,16+,kein Glück,3
Die Farben von Fjorin,2025-06-02,kurz,3,Strategie,12+,kein Glück,3
Pixhagen: Das Spiel,2025-06-20,mittel,1,Strategie,16+,mittel,3
Robohof,2025-07-12,kurz,3,Familie,10+,sehr hoch,2
Res Arcana,2025-07-12,lang,3,Strategie,16+,kein Glück,4
Gezeitenkinder,2020-12-02,kurz,3,Kooperativ,6+,gering,2
Wonders Duel,2025-03-20,lang,4,Strategie,16+,kein Glück,3
Calico,2024-07-07,lang,1,Familie,10+,gering,3
Nemesis: Lockdown,2022-05-04,kurz,4,Kooperativ,12+,hoch,3
Res Arcana,2022-04-14,kurz,5,Strategie,16+,gering,2
Patchwork,2025-01-21,mittel,2,Familie,6+,hoch,4
Dominion,2022-06-25,lang,5,Strategie,12+,hoch,2
Heat: Pedal to the Metal,2024-07-09,lang,2,Familie,6+,hoch,4
T.I.M.E Stories,2024-05-02,lang,1,Kooperativ,16+,mittel,4
Die Farben von Fjorin,2022-10-08,kurz,5,Strategie,16+,sehr hoch,3
Tapestry,2023-01-06,mittel,4,Strategie,12+,mittel,3
Heat: Pedal to the Metal,2023-03-31,kurz,2,Familie,6+,mittel,5
Unlock!,2022-09-16,lang,1,Kooperativ,16+,sehr hoch,3
Pandemic,2023-07-21,lang,5,Kooperativ,10+,kein Glück,2
Monsterbüro,2024-12-02,mittel,1,Party,16+,kein Glück,3
Kaktuskarneval,2025-05-22,k,3,Party,6+,hoch,3
Pizzadiplomaten,2023-03-24,lang,4,Party,10+,sehr hoch,3
Sleeping Gods,2024-02-24,kurz,1,Kooperativ,10+,kein Glück,5
Root,2025-04-10,mittel,3,Strategie,12+,sehr hoch,2
König Knatterbart,2024-04-13,lang,1,Kinder,6+,sehr hoch,4
Nebelschach,2024-12-21,kurz,3,Strategie,16+,hoch,2
Spirit Island,2023-09-03,lang,5,Kooperativ,10+,kein Glück,4
Cartographers,2025-02-06,kurz,2,Strategie,16+,gering,2
The Mind,2024-10-24,lang,1,Party,10+,kein Glück,3
Die Farben von Fjorin,2024-05-04,mittel,1,Strategie,12+,kein Glück,4
Terraforming Mars,2025-07-24,mittel,2,Strategie,12+,mittel,2
Wingspan Asia,2022-01-19,kurz,3,Familie,10+,sehr hoch,4
Klapperknochen-Kapitäne,2022-09-12,mittel,2,Kinder,6+,kein Glück,4
Everdell,2023-05-03,kurz,5,Strategie,16+,gering,3
Pixhagen: Das Spiel,2023-10-02,mittel,2,Strategie,12+,gering,2
Railroad Ink,2023-08-13,kurz,3,Familie,6+,mittel,4
Pandemic,2022-12-16,kurz,5,Kooperativ,10+,sehr hoch,1
Insel der Irrlichter,2023-12-26,lang,3,Kooperativ,12+,mittel,5
Planet Würfelstein,2024-08-22,lang,1,Strategie,16+,gering,3
Mindbug,2023-07-19,lang,1,Strategie,12+,hoch,2
Living Forest,2024-05-02,lang,2,Strategie,12+,sehr hoch,4
Planet Unknown,2025-01-20,kurz,3,Strategie,16+,kein Glück,2
Die Farben von Fjorin,2023-09-30,kurz,2,Strategie,12+,gering,3
Catan,2025-07-22,mittel,5,Strategie,16+,gering,4
Unlock!,2025-04-30,mittel,3,Kooperativ,12+,hoch,5
Cartographers,2023-09-17,lang,5,Strategie,12+,sehr hoch,2
Pixhagen: Das Spiel,2023-04-10,mittel,3,Strategie,12+,mittel,5
Clank!,2024-09-18,kurz,5,Strategie,16+,hoch,2
Klapperknochen-Kapitäne,2024-05-26,mittel,2,Kinder,6+,gering,3
Die Farben von Fjorin,2024-10-31,mittel,3,Strategie,16+,kein Glück,2
Sleeping Gods,2024-05-08,kurz,1,Kooperativ,16+,gering,4
Lost Ruins of Arnak,2024-05-13,kurz,3,Strategie,16+,hoch,4
Carcassonne,2024-11-09,mittel,2,Familie,10+,sehr hoch,3
Pixhagen: Das Spiel,2024-11-26,kurz,3,Strategie,12+,sehr hoch,5
Ritter der Regenzeit,2025-07-05,mittel,2,Familie,6+,kein Glück,5
Pixhagen: Das Spiel,2024-08-07,mittel,3,Strategie,12+,sehr hoch,4
Hinter dem Wasserfall,2023-10-20,lang,1,Kooperativ,12+,mittel,5
Hinter dem Wasserfall,2023-10-23,mittel,1,Kooperativ,10+,sehr hoch,3
Everdell,2025-03-24,kurz,4,Strategie,12+,kein Glück,4
Clank!,2022-11-13,mittel,5,Strategie,16+,mittel,5
König Knatterbart,2021-11-01,kurz,2,Kinder,6+,mittel,3
Meadow,2024-01-12,kurz,3,Familie,6+,hoch,4
Keksdiplomatie,2025-05-31,mittel,4,Party,10+,kein Glück,4
Mysterium,2024-09-02,kurz,3,Kooperativ,12+,kein Glück,5
Nebelschach,2024-07-31,kurz,3,Strategie,12+,mittel,4
Terraforming Mars,2024-09-29,lang,4,Strategie,16+,mittel,3
Die Drachen von Morag,2025-06-08,lang,2,Kooperativ,12+,sehr hoch,2
Pixhagen: Das Spiel,2022-08-11,kurz,3,Strategie,12+,mittel,3
Ritter der Regenzeit,2024-12-31,lang,3,Familie,6+,kein Glück,3
Tapestry,2021-11-14,lang,1,Strategie,12+,kein Glück,3
Die Farben von Fjorin,2023-06-17,kurz,1,Strategie,16+,kein Glück,2
Broom Service,2025-04-24,kurz,2,Familie,10+,gering,1
Ziegenroulette,2022-07-20,lang,2,Kinder,6+,sehr hoch,3
Nemesis: Lockdown,2025-04-22,kurz,1,Kooperativ,12+,mittel,3
Pixhagen: Das Spiel,2025-06-26,lang,4,Strategie,12+,kein Glück,4
Pixhagen: Das Spiel,2025-04-29,kurz,2,Strategie,12+,sehr hoch,2
Isle of Skye,2023-04-01,kurz,4,Strategie,12+,gering,4
Hanabi,2024-06-04,mittel,3,Kooperativ,6+,sehr hoch,2
Die Rückkehr der Kartoffelkönigin,2022-05-14,lang,1,Familie,6+,gering,5
Puerto Rico,2023-09-27,kurz,4,Strategie,12+,sehr hoch,4
